label,comment,repository,programmingLibrary,homepage,language,client,databaseSystem,interoperability,programmingLanguage,operatingSystem,license,component
Bahmni,,,,https://www.bahmni.org/,English_language,WebBased,MySql,,Java_(programming_language),CentOS,SWO_1000070,
,,,,,,,PostgreSql,,,,,
